"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"1","2024","Hombre","IE Jorge ElIEcer Gaitan","Fútbol Sala","Deportista","Yopal","Casanare"
"2","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"3","2024","Mujer","Gimnasio Comfacasanare","Voleibol","Deportista","Yopal","Casanare"
"4","2024","Hombre","Instituto Tecnico Empresarial","Atletismo","Deportista","Yopal","Casanare"
"5","2024","Hombre","IE Santa Teresa","Fútbol de Salón","Deportista","Yopal","Casanare"
"6","2024","Hombre","Colegio Bethel","Fútbol Sala","Deportista","Yopal","Casanare"
"7","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"8","2024","Hombre","IE Luis Hernandez Vargas","Tenis de Campo","Deportista","Yopal","Casanare"
"9","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"10","2024","Hombre","Colegio Bethel","Fútbol","Deportista","Yopal","Casanare"
"11","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"12","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"13","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"14","2024","Hombre","IE El Paraiso","Fútbol Sala","Deportista","Yopal","Casanare"
"15","2024","Hombre","Liceo Gustavo Matamoros Leon","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"16","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto 3x3","Deportista","Yopal","Casanare"
"17","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"18","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"19","2024","Hombre","IE El Triunfo","Fútbol de Salón","Deportista","Yopal","Casanare"
"20","2024","Hombre","IE Braulio Gonzalez","Festivales Escolares","Deportista","Yopal","Casanare"
"21","2024","Hombre","IE Teresa de Calcuta","Fútbol Sala","Deportista","Yopal","Casanare"
"22","2024","Hombre","IE Braulio Gonzalez","Atletismo","Deportista","Yopal","Casanare"
"23","2024","Hombre","Colegio Bethel","Fútbol Sala","Deportista","Yopal","Casanare"
"24","2024","Mujer","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"25","2024","Mujer","Yopal  Casanare","Patinaje","Deportista","Yopal","Casanare"
"26","2024","Mujer","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"27","2024","Mujer","Institucion Educativa Megacolegio El Progreso","Fútbol Sala","Deportista","Yopal","Casanare"
"28","2024","Mujer","Academia Militar Jose Antonio Paez","Taekwondo","Deportista","Yopal","Casanare"
"29","2024","Hombre","IE Braulio Gonzalez","Fútbol de Salón","Deportista","Yopal","Casanare"
"30","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"31","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"32","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"33","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"34","2024","Hombre","IE Manuela Beltran","Fútbol","Deportista","Yopal","Casanare"
"35","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Fútbol Sala","Deportista","Yopal","Casanare"
"36","2024","Hombre","IE Lucila Piragauta","Baloncesto","Deportista","Yopal","Casanare"
"37","2024","Mujer","Colegio Antonio Nariño","Voleibol","Deportista","Yopal","Casanare"
"38","2024","Hombre","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"39","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"40","2024","Hombre","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"41","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"42","2024","Hombre","Liceo Infantil Siglo XXI","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"43","2024","Hombre","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"44","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"45","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol Sala","Deportista","Yopal","Casanare"
"46","2024","Hombre","IE Centro Social","Natación","Deportista","Yopal","Casanare"
"47","2024","Hombre","IE Centro Social","Mini Baloncesto","Deportista","Yopal","Casanare"
"48","2024","Hombre","Gimnasio Comfacasanare","Baloncesto","Deportista","Yopal","Casanare"
"49","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"50","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"51","2024","Hombre","Colegio de la Presentación Yopal","Fútbol Sala","Deportista","Yopal","Casanare"
"52","2024","Hombre","IE Braulio Gonzalez","Ajedrez Integrado","Deportista","Yopal","Casanare"
"53","2024","Hombre","IE El Paraiso","Fútbol de Salón","Deportista","Yopal","Casanare"
"54","2024","Hombre","IE Braulio Gonzalez","Fútbol de Salón","Deportista","Yopal","Casanare"
"55","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"56","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"57","2024","Hombre","IE Carlos Lleras Restrepo","Boxeo","Deportista","Yopal","Casanare"
"58","2024","Hombre","IE Braulio Gonzalez","Ajedrez Integrado","Deportista","Yopal","Casanare"
"59","2024","Hombre","IE Divino Salvador","Fútbol de Salón","Deportista","Yopal","Casanare"
"60","2024","Hombre","IE Teresa de Calcuta","Fútbol de Salón","Deportista","Yopal","Casanare"
"61","2024","Hombre","Instituto Tecnico Empresarial","Ajedrez Integrado","Deportista","Yopal","Casanare"
"62","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"63","2024","Mujer","IE Luis Hernandez Vargas","Atletismo","Deportista","Yopal","Casanare"
"64","2024","Mujer","IE Manuela Beltran","Atletismo","Deportista","Yopal","Casanare"
"65","2024","Mujer","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"66","2024","Mujer","IE Braulio Gonzalez","Fútbol Sala","Deportista","Yopal","Casanare"
"67","2024","Mujer","Colegio Alianza Pedagogica","Patinaje","Deportista","Yopal","Casanare"
"68","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"69","2024","Mujer","IE Lucila Piragauta","Atletismo","Deportista","Yopal","Casanare"
"70","2024","Mujer","Instituto Tecnico Empresarial","Atletismo","Deportista","Yopal","Casanare"
"71","2024","Hombre","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"72","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"73","2024","Mujer","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"74","2024","Mujer","IE Luis Hernandez Vargas","Mini Baloncesto","Deportista","Yopal","Casanare"
"75","2024","Mujer","Instituto Tecnico Empresarial","Fútbol Sala","Deportista","Yopal","Casanare"
"76","2024","Mujer","IE Centro Social","Fútbol de Salón","Deportista","Yopal","Casanare"
"77","2024","Mujer","Liceo Moderno Celestin Freinet Casanare","Fútbol Sala","Deportista","Yopal","Casanare"
"78","2024","Mujer","Gimnasio de los Llanos","Fútbol Sala","Deportista","Yopal","Casanare"
"79","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"80","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"81","2024","Mujer","Colegio de la Presentación Yopal","Mini Voleibol","Deportista","Yopal","Casanare"
"82","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Natación","Deportista","Yopal","Casanare"
"83","2024","Mujer","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"84","2024","Mujer","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"85","2024","Mujer","Colegio Antonio Nariño","Voleibol","Deportista","Yopal","Casanare"
"86","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"87","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"88","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"89","2024","Mujer","IE Luis Hernandez Vargas","Atletismo","Deportista","Yopal","Casanare"
"90","2024","Mujer","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
"91","2024","Mujer","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"92","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"93","2024","Mujer","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"94","2024","Mujer","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"95","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"96","2024","Mujer","Liceo de la Sabana","Bádminton","Deportista","Yopal","Casanare"
"97","2024","Mujer","IE Braulio Gonzalez","Voleibol","Deportista","Yopal","Casanare"
"98","2024","Mujer","Liceo de la Sabana","Bádminton","Deportista","Yopal","Casanare"
"99","2024","Mujer","IE Manuela Beltran","Tenis de Mesa","Deportista","Yopal","Casanare"
"100","2024","Mujer","Instituto Tecnico Empresarial","Atletismo","Deportista","Yopal","Casanare"
"101","2024","Mujer","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"102","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Judo","Deportista","Yopal","Casanare"
"103","2024","Mujer","Gimnasio Comfacasanare","Festivales Escolares","Deportista","Yopal","Casanare"
"104","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"105","2024","Hombre","Liceo Pedagógico Colombo Inglés","Ajedrez Integrado","Deportista","Yopal","Casanare"
"106","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"107","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol Sala","Deportista","Yopal","Casanare"
"108","2024","Hombre","IE Manuela Beltran","Ajedrez Integrado","Deportista","Yopal","Casanare"
"109","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"110","2024","Mujer","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
"111","2024","Mujer","IE Braulio Gonzalez","Voleibol","Deportista","Yopal","Casanare"
"112","2024","Mujer","IE Braulio Gonzalez","Fútbol Sala","Deportista","Yopal","Casanare"
